;Access;Project;Surname0;Surname1;Surname2;Surname3;Surname4;Initial0;Initial1;Initial2;Initial3;Initial4;Surnames;Initials;AuthorCount;Media;Title;Edition;Publisher;CityOfPub;Year;URL;Journal;Volume;Issue;Pages;Organisation;DateAccessed;DateWritten;Name_Conf;Place_Conf;Date_Conf;HCitation;HReference;Surname5;Initial5;PDF;Ed_Surname0;Ed_Surname1;Ed_Surname2;Ed_Surname3;Ed_Initial0;Ed_Initial1;Ed_Initial2;Ed_Initial3;Ed_Initial4;Chap_Surname0;Chap_Surname1;Chap_Surname2;Chap_Surname3;Chap_Initial0;Chap_Initial1;Chap_Initial2;Chap_Initial3;Chap_Initial4;Ed_Surname4;Ed_Surname5;Ed_Initial5;Chap_Surname4;Chap_Surname5;Chap_Initial5;Chap_Title;ChapCount;EdCount;Notes;CiteOverride;RefOverride;Used;CommMethod;Receiver;prep
0;;Squirrels;;;;;;;;;;;;;0;data;Land Cover Map;;;;2023.0;https://digimap.edina.ac.uk;;;;;Digimap Environment Collection;16/11/24;2023;;;;Digimap Environment Collection (2023);Digimap Environment Collection (2023) Land Cover Map. Available at: https://digimap.edina.ac.uk (Accessed: 16/11/24);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Not Used;;;
1;;Squirrels;;;;;;;;;;;;;0;data;Major Road Link Network;;;;2022.0;https://www.data.gov.uk/dataset/208c0e7b-353f-4e2d-8b7a-1a7118467acc/gb-road-traffic-counts;;;;;Department for Transport;16/11/24;24/07/23;;;;Department for Transport (2023);Department for Transport (2023) Major Road Link Network. Available at: https://www.data.gov.uk/dataset/208c0e7b-353f-4e2d-8b7a-1a7118467acc/gb-road-traffic-counts (Accessed: 16/11/24);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Not Used;;;
2;;Squirrels;Bertin;Berg;;;;J.;W.J.;;;;;;2;book;Semiology of Graphics: Diagrams, Networks, Maps;3.0;ESRI Press;Unknown City;2011.0;https://books.google.com/books/about/Semiology_of_Graphics.html?id=X5caQwAACAAJ;;;;;;17-11-2024;;;;;Bertin, J. and Berg, W.J. (2023);Bertin, J. and Berg, W.J. (2023) Semiology of Graphics: Diagrams, Networks, Maps. nan edn. Unknown City: ESRI Press.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Not Used;;;
3;;Squirrels;;;;;;;;;;;;;0;data;Northern Ireland Road Network;;;;2024.0;https://digimap.edina.ac.uk/roam/map/os;;;;;Edina Digimap;20-11-2024;January 2024;;;;Edina Digimap (2023);Edina Digimap (2023) Northern Ireland Road Network. Available at: https://digimap.edina.ac.uk/roam/map/os (Accessed: 20-11-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Not Used;;;
4;;Squirrels;McFarlane;;;;;J.J.;;;;;;;1;unpub;Red Squirrels in the UK: a Case for the Benefits of Habitat Fragmentation ;;University of Sheffield;Sheffield;2024.0;;;;;;;;;;;;McFarlane (2023);McFarlane, J.J. (2023) Red Squirrels in the UK: a Case for the Benefits of Habitat Fragmentation . Sheffield: University of Sheffield. Unpublished.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Not Used;;;
5;;Energy Use;;;;;;;;;;;;;0;data;Educational attainment of young people in English towns data;;;;2023.0;https://www.ons.gov.uk/peoplepopulationandcommunity/educationandchildcare/datasets/educationalattainmentofyoungpeopleinenglishtownsdata;;;;;Office for National Statistics;05-12-2024;25-07-23;;;;Office for National Statistics (2023);Office for National Statistics (2023) Educational attainment of young people in English towns data. Available at: https://www.ons.gov.uk/peoplepopulationandcommunity/educationandchildcare/datasets/educationalattainmentofyoungpeopleinenglishtownsdata (Accessed: 05-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Not Used;;;
6;;Energy Use;;;;;;;;;;;;;0;data;UK House Price Index;;;;2024.0;https://www.gov.uk/government/statistical-data-sets/uk-house-price-index-data-downloads-september-2024#create-your-report;;;;;HM Land Registry;06-12-2024;September 2024;;;;HM Land Registry (2023);HM Land Registry (2023) UK House Price Index. Available at: https://www.gov.uk/government/statistical-data-sets/uk-house-price-index-data-downloads-september-2024#create-your-report (Accessed: 06-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Not Used;;;
7;;Energy Use;;;;;;;;;;;;;0;data;LSOA Domestic Gas 2010 to 2022;;;;2022.0;https://www.gov.uk/government/statistics/lower-and-middle-super-output-areas-gas-consumption;;;;;Department for Energy Security and Net Zero;08-12-2024;25-01-24;;;;Department for Energy Security and Net Zero (2023);Department for Energy Security and Net Zero (2023) LSOA Domestic Gas 2010 to 2022. Available at: https://www.gov.uk/government/statistics/lower-and-middle-super-output-areas-gas-consumption (Accessed: 08-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Not Used;;;
8;;Energy Use;;;;;;;;;;;;;0;data;CDRC Harmonised IMD 2019;;;;2019.0;http://www.doi.org/10.20390/enginddepriv2015doi.org/;;;;;CDRC;08-12-2024;2019;;;;CDRC (2023);CDRC (2023) CDRC Harmonised IMD 2019. Available at: http://www.doi.org/10.20390/enginddepriv2015doi.org/ (Accessed: 08-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Not Used;;;
9;;Energy Use;;;;;;;;;;;;;0;data;Lower layer Super Output Area population estimates;;;;2022.0;https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/lowersuperoutputareamidyearpopulationestimates;;;;;Office for National Statistics;08-12-2024;25-11-24;;;;Office for National Statistics (2023);Office for National Statistics (2023) Lower layer Super Output Area population estimates. Available at: https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/lowersuperoutputareamidyearpopulationestimates (Accessed: 08-12-2024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;Not Used;;;
